id,label,sex,type,type_detail,age,birth,education,education_background,background,party,state,function,health_sector,health_category
7000eichen,7000 Eichen ,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
absatzfoerderungsfond,Absatzfoerderungsfonds der deutschen Land- und Ernaehrungswirtschaft,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
aktionpsychischkranke,Aktion Psychisch Kranke e.V. (APK),NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4
aktionsbuendnisschmerzfreiestadtmuenster,Aktionbuendnis „Schmerzfreie Stadt Münster“,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4
akzo,Firma AKZO,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
alfa,Aktion Lebensrecht für Alle (AlfA),NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,5
apkv,Allianz Private Krankenversicherung,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,5
archenoah,Arche Noah - Foerderverein Betreutes Wohnen dauerbeatmeter Kinder e.V.,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,5
aupu,AUPU Versorgungswerk e.V.,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
ausschussarbeitsoziales,Ausschuss fuer Arbeit und Soziales,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
ausschussentwicklung,Ausschuss fuer wirtschaftliche Zusammenarbeit und Entwicklung,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
ausschussernaehrunglandwirtschaft,Ausschuss fuer Ernaehrung und Landwirtschaft,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
ausschussfuerkulturundmedien,Ausschuss fuer Kultur und Medien,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5
ausschusstourismus,Ausschuss fuer Tourismus,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
auswaertigekulturundbildungspolitik,Auswaertige Kultur- und Bildungspolitik,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5
auswaertigerausschuss,Auswaertiger Ausschuss,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5
awo,Arbeiterwohlfahrt Bundesverband,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
awobetreuungsvereinaltenkirchen,AWO Betreuungsverein Altenkirchen,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
awomittelrhein,AWO Bezirksverband Mittelrhein e.V. ,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
aworheinerft,AWO Regionalverband Rhein-Erft Kreis & Euskirchen e.V.,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
baetzing,Sabine Baetzing,1,1,NA,3,5,5,5,2,2,11,3,NA,NA
bafin,Bundes­­anstalt fuer Finanz­dienst­leistungsaufsicht,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bahr,Daniel Bahr,2,1,NA,3,5,7,1,1,5,10,1,NA,NA
basf,BASF,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1
bayerischesroteskreuz,Bayerisches Rotes Kreuz Kreisverband Rosenheim,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4
bayrischelandeszentrale,Bayrische Landeszentrale fuer neue Medien,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bayrischerbauernverband,Bayrischer Bauernverband,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bayrischeversicherungskammer,Bayrische Versicherungskammer,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bdew,Bundesverband der Energie- und Wasserwirtschaft e.V.,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bertelsmannstiftung,Bertelsmann Stiftung,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,1,4
bildungsausschuss,"Ausschuss fuer Bildung, Forschung und Technikfolgenabschaetzung",NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bkf,Bundesverband konduktive Foerderung nach Petoe,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4
bmf,Bundesministerium fuer Finanzen,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bmg,Bundesgesundheitsministerium,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5
bmwi,Bundesministerium fuer Wirtschaft,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bnev,Bundesverband Niere e.V.,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4
brainloop,Brainloop,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bundesfachausschussfuergesundheit,Bundesfachausschuss fuer Gesundheit,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,5
bundeskanzleramt,Bundeskanzleramt,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bundessicherheitsrat,Bundessicherheitsrat,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bundesstiftungbaukultur,Bundesstiftung Baukultur,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bundeswehr,Bundeswehr,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
bundeswehrkrankenhaushamburg,Bundeswehrkrankenhaus Hamburg,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3
bundzurfoerderungdesgesundheitsmanagements,Bund zur Foerderung des Gesundheitsmanagements BGM e.V.,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,5
bvpg,Bundesvereinigung Praevention und Gesundheitsfoerderung e.V. (BVPG),NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,4
caspersmerk,Marion Caspers-Merk,1,1,NA,5,3,7,2,1,2,1,2,NA,NA
cda,Christlich-Demokratische Arbeitnehmerschaft,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
cdu,CDU/CSU,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
centerforamericanprogress,Center For American Progress (CAP),NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
christeninderfdpbundestagsfraktion,Christen in der FDP-Bundestagsfraktion,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
comline,Comline AG,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
compugroup,CompuGroup Medical AG,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,5
