id,label,sex,type,type_detail,age,birth,education,education_background,background,party,state,function,health_sector,health_category,period
7000eichen,7000Eichen,99,2,3,99,99,99,99,99,99,99,99,2,99,99
absatzfoerderungsfond,AbsatzfoerderungsfondsderdeutschenLand-undErnaehrungswirtschaft,99,2,4,99,99,99,99,99,99,99,99,2,99,99
aktionpsychischkranke,AktionPsychischKrankee.V.(APK),99,2,3,99,99,99,99,99,99,99,99,1,4,99
aktionsbuendnisschmerzfreiestadtmuenster,AktionbuendnisSchmerzfreieStadtMünster,99,2,3,99,99,99,99,99,99,99,99,1,4,99
akzo,FirmaAKZO,99,2,2,99,99,99,99,99,99,99,99,2,99,99
alfa,AktionLebensrechtfürAlle(AlfA),99,2,3,99,99,99,99,99,99,99,99,1,5,99
apkv,AllianzPrivateKrankenversicherung,99,2,2,99,99,99,99,99,99,99,99,1,5,99
archenoah,ArcheNoah-FoerdervereinBetreutesWohnendauerbeatmeterKindere.V.,99,2,3,99,99,99,99,99,99,99,99,1,5,99
aupu,AUPUVersorgungswerke.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,99
ausschussarbeitsoziales,AusschussfuerArbeitundSoziales,99,2,4,99,99,99,99,99,99,99,99,2,99,99
ausschussentwicklung,AusschussfuerwirtschaftlicheZusammenarbeitundEntwicklung,99,2,4,99,99,99,99,99,99,99,99,2,99,99
ausschussernaehrunglandwirtschaft,AusschussfuerErnaehrungundLandwirtschaft,99,2,4,99,99,99,99,99,99,99,99,2,99,99
ausschussfuerkulturundmedien,AusschussfuerKulturundMedien,99,2,4,99,99,99,99,99,99,99,99,2,99,99
ausschusstourismus,AusschussfuerTourismus,99,2,4,99,99,99,99,99,99,99,99,2,99,99
auswaertigekulturundbildungspolitik,AuswaertigeKultur-undBildungspolitik,99,2,4,99,99,99,99,99,99,99,99,2,99,99
auswaertigerausschuss,AuswaertigerAusschuss,99,2,4,99,99,99,99,99,99,99,99,2,99,99
awo,ArbeiterwohlfahrtBundesverband,99,2,3,99,99,99,99,99,99,99,99,2,99,99
awobetreuungsvereinaltenkirchen,AWOBetreuungsvereinAltenkirchen,99,2,3,99,99,99,99,99,99,99,99,2,99,99
awomittelrhein,AWOBezirksverbandMittelrheine.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,99
aworheinerft,AWORegionalverbandRhein-ErftKreis&Euskirchene.V.,99,2,3,99,99,99,99,99,99,99,99,2,99,99
baetzing,SabineBaetzing,1,1,99,3,5,5,5,2,2,11,3,99,99,1
bafin,Bundes­­anstaltfuerFinanz­dienst­leistungsaufsicht,99,2,4,99,99,99,99,99,99,99,99,2,99,99
bahr,DanielBahr,2,1,99,3,5,7,1,1,5,10,1,99,99,2
basf,BASF,99,2,2,99,99,99,99,99,99,99,99,1,1,99
